pCD3z(),pSLP76(),pErk(),pS6()
29.56,32.18,13.44,23.99
13.62,4.23,2.06,3.93
6.63,33.98,12.15,43.23
4.52,1.9,0.45,3.93
20.27,6.33,4.57,18.98
2.03,7.71,2.21,5.49
11.26,16.93,7.26,16.74
5.61,8.43,10.3,14.57
3.58,4.31,6.95,12.46
11.45,5.09,3.94,11.34
17.8,12.68,6.2,11
16.95,8.57,3.99,7.91
