pCD3z(),pSLP76(),pErk(),pS6()
10.73,11.28,4.04,12.48
5.81,0.02,4.56,18.78
11.23,23.14,10.83,10.94
15.09,10.06,3.18,37.88
3.71,4.06,1.24,23.45
9.33,6.82,3.87,3.75
3.07,9.64,6.18,7.87
21.17,22.31,10.14,27.37
5.42,8.11,3.86,9.86
14.43,3.54,3.07,6.86
9.07,4.4,6,7.91
3.65,0.51,1.22,2.91
1.46,0.75,3.2,5.6
14.31,1.42,0.28,17.85
12.42,19.06,7.72,8.47
11.02,37.02,15.53,21.37
21.04,16.18,1.06,24.77
1.34,4.91,5.16,5.39
8.04,20.3,9.69,18.16
22.97,10.72,16.1,45.47
10.77,4,1.1,4.66
20.62,11.56,22.02,45.25
6.7,7.81,5.39,14.31
13.76,8.2,3.93,9.96
18.49,15.22,5.26,7.53
16.48,6.12,4.6,4.06
21.1,10.67,5.1,16.12
1.76,1.79,0.51,11.59
16.1,10.34,3.07,6.35
3.11,14.34,6,17.92
1.35,1.44,1.58,6.15
12.18,5.36,1.47,13.28
6.01,0.03,1.99,85.3
27.11,37.6,18.41,19.62
11.22,23.37,19.63,18.97
-0.4,3.82,3.69,7.57
10.55,7.07,6.98,13.92
1.91,5.74,10.61,21.06
5.9,5.2,5.15,12.84
3.56,7.26,4.26,8.04
19.28,27.27,9.22,46.68
11.94,15.98,8.21,6.07
10.26,14.2,7.04,6.17
8.48,2.46,2.05,5.2
2.29,6.86,5.02,28.95
7.44,2.22,2.17,6.88
13.11,7.09,45.67,174.31
2.6,20.94,6.31,34.83
7.7,34.54,14.64,57.25
18.07,11.6,13.22,15.08
1.08,-0.09,0.6,10.53
26.49,7.14,3.34,15.65
6.98,18.37,10.01,14.98
2.04,1.41,0.95,6.41
7.89,4.05,1.41,3.5
3.58,27.36,6.98,3.28
12.73,20.08,4.05,4.59
19.92,25.43,11.87,27.01
2.08,7.37,2.1,30.15
2.22,1.28,2.14,11.44
14.76,32.77,11.96,19.29
7.16,3.05,1.76,19
25.44,11.85,6.29,16.02
5.63,1.28,9.56,35.8
8.13,6.33,3.6,4.75
26.47,9.5,8.07,20.09
6.71,8.2,14.53,17.93
7.79,1.95,1.65,2.74
30.81,66.82,26.29,16.69
12.58,3.15,0.55,0.11
6.59,8.09,7.01,11.57
3.96,0.95,2.8,18.15
17.42,13.78,9.34,22.3
8.44,13.51,44.34,59.84
9.06,11.63,8.5,32.64
17.97,13.6,11.57,43.96
45.08,50.2,20.92,28.91
2.84,7.08,8.18,23.54
2.82,14.12,6.07,37.92
11.53,18.49,6.36,10.03
18.62,1.88,0.02,21.88
9.78,15.08,5.18,55.55
2.24,0.92,-0.6,0.78
7.98,21.99,7.07,8.63
18.24,3.46,2.14,10.18
16.78,1.2,1.03,13.88
6.19,14.04,39.04,195.69
31.56,33.18,10.44,18.99
14.62,5.23,0.06,5.93
3.63,31.98,7.15,36.23
9.52,1.9,0.45,1.93
19.27,10.33,4.57,13.98
1.03,7.71,5.21,4.49
10.26,12.93,5.26,16.74
7.61,6.43,9.3,19.57
4.58,4.31,6.95,10.46
13.45,5.09,6.94,7.34
16.8,13.68,6.2,13
20.95,7.57,2.99,14.91
