pCD3z(),pSLP76(),pErk(),pS6()
3.62,15.04,4.49,9.35
4.11,10.6,4.39,3.54
1.87,4.88,2.05,3.92
12.72,7.28,2.04,3.51
5.31,28.3,11.78,24.62
4.77,13.06,4.18,10.11
14.62,12.84,4.66,10.85
3.04,3.98,7.59,7.13
16.87,12.79,6.97,24.35
5.12,8.9,7.77,13.28
5.59,8.62,5.75,8.62
14,7.59,6.26,12.41
9.18,8.64,5.72,6.39
2.63,2.88,1.6,15.47
2.29,11.29,3.11,3.16
16.54,24.02,6.78,14.14
15.98,25.25,10.18,14.92
9.76,35.07,12.21,23.8
6.77,46.4,14.47,17.1
3.26,4.8,16.53,34.7
17.09,12.61,3.34,9.62
7.55,6.68,2.45,8.21
11.99,16.61,17.29,23.76
10.73,15.28,0.04,14.48
8.81,2.02,4.56,9.78
9.23,24.14,13.83,13.94
13.09,7.06,6.18,32.88
1.71,3.06,-0.76,19.45
11.33,8.82,4.87,10.75
6.07,12.64,7.18,12.87
18.17,22.31,9.14,26.37
10.42,8.11,4.86,5.86
11.43,7.54,7.07,11.86
8.07,6.4,6,8.91
3.65,1.51,2.22,3.91
3.46,1.75,3.2,4.6
11.31,4.42,4.28,19.85
11.42,15.06,11.72,9.47
15.02,29.02,8.53,25.37
18.04,16.18,7.06,31.77
1.34,5.91,4.16,11.39
8.04,20.3,7.69,21.16
17.97,10.72,11.1,34.47
5.77,6,3.1,8.66
17.62,7.56,24.02,49.25
6.7,10.81,7.39,11.31
11.76,10.2,-0.07,5.96
19.49,19.22,11.26,11.53
11.48,7.12,5.6,11.06
18.1,9.67,3.1,17.12
4.76,2.79,0.51,9.59
11.1,8.34,4.07,8.35
2.11,15.34,9,25.92
5.35,1.44,4.58,10.15
18.18,6.36,5.47,14.28
1.01,2.03,0.99,90.3
25.11,35.6,7.41,11.62
9.22,14.37,9.63,13.97
0.6,3.82,3.69,5.57
6.55,10.07,3.98,13.92
0.91,5.74,8.61,20.06
7.9,4.2,3.15,8.84
4.56,6.26,6.26,13.04
11.28,26.27,7.22,37.68
6.94,15.98,6.21,5.07
7.26,18.2,10.04,7.17
9.48,5.46,0.05,5.2
2.29,8.86,5.02,27.95
11.44,2.22,4.17,3.88
9.11,6.09,39.67,200.31
3.6,22.94,10.31,26.83
8.7,26.54,13.64,46.25
12.07,7.6,4.22,10.08
4.08,0.91,1.6,8.53
29.49,10.14,1.34,10.65
5.98,20.37,5.01,12.98
2.04,1.41,1.95,5.41
8.89,6.05,0.41,4.5
4.58,26.36,16.98,14.28
9.73,15.08,3.05,7.59
17.92,23.43,16.87,37.01
2.08,6.37,4.1,28.15
1.22,0.28,1.14,8.44
20.76,26.77,11.96,15.29
9.16,4.05,1.76,19
21.44,15.85,8.29,18.02
5.63,1.28,9.56,44.8
7.13,7.33,3.6,1.75
28.47,13.5,5.07,11.09
5.71,11.2,15.53,17.93
4.79,0.95,0.65,3.74
25.81,55.82,23.29,23.69
14.58,3.15,2.55,0.11
6.59,8.09,3.01,7.57
-0.04,0.95,1.8,20.15
20.42,17.78,8.34,16.3
9.44,13.51,38.34,53.84
12.06,12.63,3.5,23.64
13.97,16.6,3.57,39.96
33.08,56.2,12.92,28.91
0.84,4.08,5.18,25.54
2.82,13.12,7.07,32.92
10.53,13.49,4.36,2.03
21.62,0.88,1.02,16.88
9.78,15.08,8.18,56.55
1.24,0.92,1.4,5.78
