pCD3z(),pSLP76(),pErk(),pS6()
13.11,5.96,8.83,23.56
1.57,8.17,4.74,3.5
1.66,8.6,2.2,8.56
5.12,14.81,16.4,15.11
76.99,24.5,10.75,9.47
4.62,9.04,5.49,11.35
2.11,5.6,6.39,3.54
1.87,4.88,1.05,4.92
4.72,5.28,7.04,6.51
7.31,14.3,12.78,20.62
5.77,11.06,6.18,12.11
12.62,7.84,7.66,15.85
1.04,3.98,1.59,8.13
16.87,9.79,9.97,25.35
7.12,2.9,4.77,9.28
6.59,9.62,-0.25,5.62
13,9.59,5.26,3.41
5.18,12.64,3.72,6.39
4.63,0.88,3.6,16.47
0.29,6.29,7.11,4.16
16.54,13.02,10.78,19.14
6.98,14.25,8.18,17.92
16.76,18.07,23.21,37.8
10.77,58.4,-0.53,2.1
2.26,3.8,7.53,21.7
15.09,10.61,4.34,6.62
8.55,5.68,3.45,11.21
11.99,12.61,10.29,28.76
4.73,11.28,9.04,15.48
4.81,2.02,3.56,10.78
10.23,22.14,6.83,12.94
15.09,3.06,10.18,45.88
3.71,3.06,1.24,28.45
8.33,6.82,3.87,7.75
7.07,7.64,5.18,12.87
19.17,14.31,11.14,42.37
9.42,5.11,4.86,9.86
9.43,6.54,3.07,11.86
7.07,6.4,5,3.91
2.65,-0.49,2.22,4.91
1.46,1.75,2.2,2.6
12.31,4.42,2.28,15.85
6.42,14.06,10.72,8.47
13.02,21.02,14.53,33.37
19.04,15.18,12.06,33.77
2.34,2.91,6.16,4.39
9.04,11.3,9.69,21.16
16.97,11.72,10.1,39.47
7.77,3,5.1,8.66
19.62,6.56,13.02,37.25
4.7,5.81,8.39,16.31
11.76,7.2,2.93,10.96
22.49,16.22,8.26,13.53
12.48,4.12,6.6,6.06
16.1,8.67,6.1,14.12
2.76,1.79,0.51,12.59
12.1,5.34,8.07,7.35
4.11,8.34,8,18.92
0.35,0.44,2.58,10.15
12.18,7.36,4.47,12.28
7.01,1.03,2.99,106.3
24.11,22.6,19.41,23.62
6.22,11.37,13.63,15.97
1.6,1.82,2.69,8.57
2.55,4.07,8.98,13.92
2.91,4.74,2.61,23.06
2.9,6.2,4.15,13.84
3.56,10.26,1.26,10.04
20.28,14.27,15.22,48.68
7.94,9.98,8.21,8.07
10.26,11.2,9.04,2.17
7.48,3.46,1.05,9.2
3.29,2.86,5.02,37.95
7.44,4.22,2.17,4.88
8.11,7.09,24.67,193.31
3.6,16.94,3.31,37.83
4.7,15.54,13.64,60.25
12.07,8.6,6.22,7.08
1.08,0.91,0.6,11.53
20.49,10.14,9.34,11.65
6.98,16.37,9.01,12.98
1.04,1.41,1.95,7.41
8.89,5.05,-0.59,5.5
3.58,12.36,10.98,13.28
8.73,14.08,4.05,6.59
20.92,20.43,13.87,38.01
0.08,6.37,1.1,34.15
1.22,0.28,2.14,14.44
13.76,24.77,17.96,13.29
