pCD3z(),pSLP76(),pErk(),pS6()
8.26,5.16,3.38,17.53
11.4,0.07,13.19,13.05
7.85,7.64,4.09,29.45
6.1,5.72,3.7,6.43
2.78,8.67,2.23,3
5.74,13.51,3.67,19.55
18.85,26.12,10.52,22.57
14.11,7.96,10.83,26.56
1.57,12.17,6.74,6.5
3.66,12.6,3.2,5.56
11.12,19.81,3.4,8.11
75.99,16.5,4.75,5.47
3.62,14.04,4.49,17.35
5.11,10.6,2.39,3.54
3.87,4.88,1.05,5.92
11.72,9.28,9.04,9.51
10.31,34.3,13.78,17.62
8.77,12.06,6.18,15.11
14.62,15.84,1.66,9.85
2.04,3.98,3.59,8.13
17.87,16.79,9.97,19.35
7.12,8.9,6.77,9.28
9.59,9.62,-0.25,1.62
12,8.59,3.26,5.41
13.18,13.64,6.72,5.39
5.63,2.88,1.6,11.47
1.29,11.29,6.11,6.16
20.54,20.02,9.78,13.14
13.98,23.25,11.18,16.92
17.76,37.07,15.21,35.8
5.77,38.4,14.47,12.1
2.26,3.8,12.53,24.7
20.09,8.61,4.34,4.62
7.55,8.68,3.45,10.21
12.99,18.61,26.29,23.76
10.73,13.28,5.04,14.48
6.81,1.02,2.56,6.78
13.23,23.14,8.83,12.94
13.09,10.06,7.18,41.88
5.71,3.06,1.24,21.45
13.33,10.82,3.87,9.75
10.07,10.64,3.18,9.87
19.17,25.31,8.14,42.37
6.42,5.11,3.86,6.86
11.43,5.54,2.07,12.86
5.07,2.4,5,13.91
2.65,1.51,2.22,4.91
2.46,2.75,3.2,7.6
11.31,2.42,2.28,17.85
10.42,16.06,4.72,15.47
14.02,34.02,16.53,35.37
25.04,16.18,7.06,30.77
5.34,7.91,6.16,9.39
11.04,14.3,8.69,23.16
18.97,8.72,18.1,46.47
12.77,2,4.1,9.66
15.62,10.56,28.02,57.25
5.7,9.81,4.39,14.31
12.76,10.2,6.93,6.96
25.49,22.22,19.26,9.53
11.48,10.12,4.6,6.06
22.1,6.67,4.1,16.12
2.76,0.79,1.51,11.59
11.1,9.34,7.07,7.35
2.11,13.34,6,21.92
2.35,0.44,1.58,6.15
15.18,8.36,4.47,13.28
4.01,0.03,0.99,86.3
23.11,41.6,13.41,14.62
9.22,20.37,18.63,27.97
0.6,2.82,2.69,5.57
10.55,4.07,2.98,17.92
1.91,6.74,8.61,23.06
4.9,5.2,1.15,11.84
4.56,6.26,5.26,10.04
21.28,28.27,11.22,34.68
9.94,11.98,5.21,7.07
7.26,14.2,4.04,2.17
6.48,6.46,1.05,8.2
5.29,7.86,3.02,33.95
8.44,1.22,1.17,3.88
13.11,9.09,43.67,173.31
3.6,20.94,7.31,31.83
6.7,26.54,11.64,50.25
12.07,8.6,5.22,2.08
1.08,0.91,2.6,14.53
25.49,5.14,2.34,12.65
8.98,22.37,13.01,20.98
3.04,1.41,0.95,3.41
6.89,4.05,1.41,4.5
2.58,28.36,11.98,12.28
10.73,15.08,5.05,6.59
19.92,27.43,12.87,28.01
0.08,6.37,3.1,30.15
1.22,3.28,0.14,13.44
21.76,36.77,21.96,23.29
8.16,4.05,3.76,15
24.44,13.85,9.29,20.02
6.63,2.28,8.56,37.8
9.13,6.33,1.6,2.75
28.47,12.5,5.07,7.09
6.71,7.2,12.53,14.93
4.79,1.95,1.65,3.74
28.81,63.82,25.29,15.69
11.58,3.15,3.55,6.11
8.59,9.09,5.01,6.57
0.96,0.95,0.8,21.15
21.42,13.78,5.34,16.3
5.44,10.51,44.34,69.84
7.06,12.63,4.5,33.64
18.97,15.6,5.57,36.96
39.08,51.2,17.92,31.91
3.84,6.08,8.18,28.54
2.82,11.12,6.07,31.92
9.53,12.49,8.36,13.03
21.62,2.88,2.02,25.88
9.78,14.08,5.18,56.55
1.24,1.92,2.4,4.78
8.98,24.99,6.07,6.63
16.24,3.46,1.14,11.18
13.78,0.2,2.03,13.88
10.19,9.04,33.04,184.69
35.56,31.18,18.44,26.99
14.62,4.23,2.06,4.93
7.63,33.98,10.15,39.23
6.52,2.9,1.45,3.93
14.27,11.33,3.57,17.98
1.03,8.71,5.21,5.49
9.26,14.93,9.26,30.74
3.61,4.43,10.3,14.57
3.58,6.31,7.95,10.46
10.45,9.09,4.94,8.34
16.8,8.68,4.2,5
13.95,9.57,5.99,20.91
