P1(),P2(),P3()
17.9272,14.9873,11.1979
5.49972,8.65438,5.37899
12.3889,7.44942,6.13839
4.22216,6.3963,5.70679
30.121,17.693,10.0539
1.80041,3.43738,1.82411
13.3116,4.83258,8.21223
1.74894,4.45493,4.48817
20.4515,6.90508,24.9841
28.4591,11.0067,8.15524
6.60062,1.06915,3.90689
26.6301,14.8474,25.9024
8.22159,6.49318,11.8821
12.788,17.0305,20.4792
13.2774,5.93861,3.6698
44.1588,29.6917,37.7561
42.9052,16.6786,20.1602
10.6221,2.49005,6.71641
28.4445,14.509,24.7404
16.6235,9.24281,12.1483
13.129,9.35157,6.8762
0.778126,1.01271,5.31045
31.504,16.2881,33.5101
5.11464,4.27904,4.71152
11.3034,7.12986,5.51444
8.47256,-0.131114,5.33755
8.80999,3.48496,4.86381
7.51701,1.93744,4.02102
13.2007,8.00408,11.3747
10.9497,5.72278,7.46512
9.05307,5.53753,1.60667
3.33803,3.08771,2.57408
8.05158,1.29934,3.7216
10.6395,5.00565,10.6951
5.07742,3.25024,4.50446
16.1103,6.87468,2.94672
4.57616,8.72344,4.61417
8.4935,4.09499,6.24684
6.41831,4.14337,4.65109
11.5006,9.28806,12.0494
10.5805,-0.100848,6.21778
3.90751,-0.215799,4.08898
7.77325,6.58009,4.22563
8.84743,2.38888,2.86762
132.992,87.7801,118.185
12.3659,3.42869,4.24226
33.2639,11.9236,14.3832
13.4871,11.47,15.5978
13.7363,2.42853,5.29905
-0.196862,2.80881,1.34009
3.54941,2.38535,2.34592
15.1569,10.3068,10.2744
5.19993,-0.283242,9.60966
18.3391,13.517,14.0879
9.63515,8.39274,5.68755
10.6833,3.1108,3.09892
24.7255,9.98812,21.9623
8.71698,6.4022,4.1485
10.693,3.15779,9.06274
7.61899,3.15103,8.14531
7.5505,6.16598,15.3208
6.05416,-0.449003,3.34765
1.68414,-0.356722,5.09697
36.5619,24.1385,22.5361
26.8036,8.02335,9.8376
6.22995,4.24312,7.85648
7.04093,7.40554,5.08521
14.8286,5.65535,4.75398
9.41988,2.45333,3.81935
1.89463,-0.134608,2.39243
6.79012,-0.601526,2.80264
24.4536,10.5106,11.9105
3.42333,2.1649,2.06747
16.3502,5.16698,16.3302
1.69594,3.37722,3.61824
4.88618,4.00729,1.49283
11.2073,9.37408,4.86826
13.2404,1.06314,4.74753
8.91194,3.09076,3.19947
17.6251,3.34402,8.53151
4.15781,-0.050861,1.03489
12.8079,2.03455,3.2441
3.0989,4.85235,-0.105157
5.37972,-0.563903,2.35149
10.2752,7.78721,10.3828
4.25131,10.7547,15.5718
15.6167,4.32501,6.47228
10.2507,-0.634791,5.64558
16.2527,12.9258,9.11982
15.326,3.36581,11.7549
5.3949,5.07779,11.4668
20.9771,6.38376,13.5696
39.8814,23.4639,31.1021
3.2799,4.06583,6.55428
5.97204,2.07746,4.76712
7.33713,6.5537,2.61343
11.329,8.0759,13.4748
8.51238,3.88808,8.1469
5.34857,4.70453,0.940239
19.6177,6.62079,4.93103
4.73731,2.75085,1.06925
21.5572,13.0729,11.3203
15.5114,6.61545,20.2064
14.1632,10.103,10.6129
6.40598,8.45718,8.63948
42.1967,27.9631,18.8126
6.38448,3.63904,4.79117
32.7139,21.3668,25.3517
18.5632,13.7596,12.9708
21.0789,12.1279,11.6038
1.57155,1.00518,2.53913
22.1715,13.1143,13.7649
8.96534,8.24789,5.68407
28.8973,9.0008,8.72457
14.4257,10.6447,9.00804
19.8958,7.7512,2.84029
9.29766,4.2506,4.10448
8.67093,-0.149321,5.11436
7.39076,2.75421,4.53298
6.69465,2.44245,5.86363
10.2285,7.28195,16.8706
4.4675,3.68729,2.07751
19.2446,7.86147,9.26368
27.5157,13.3617,13.7513
10.8347,11.591,4.74507
6.71021,4.52843,3.71707
11.4681,4.62053,6.43711
19.5529,7.42206,7.4584
3.72827,6.22267,2.88037
25.1758,9.91694,17.1488
3.27697,-0.289408,1.6501
13.9277,4.57579,12.1344
8.56996,7.05163,6.25966
14.4746,12.3444,12.2715
33.5499,38.6626,38.2556
15.5191,10.8375,17.1655
7.19279,6.80968,9.17896
23.44,19.7628,7.54871
12.3837,2.6217,4.53762
13.242,9.87236,14.2407
22.4996,16.1852,17.7317
12.2595,3.36284,7.2908
14.7725,7.94128,7.60031
3.3325,3.13466,4.47444
11.4309,3.64553,3.40308
14.7648,9.38285,8.41814
6.72382,3.4132,4.6651
10.264,10.0559,-0.25353
19.3419,4.66374,10.5359
5.72899,3.64949,9.63941
1.37025,4.01793,3.54885
0.02864,3.01643,5.73056
10.0035,1.3141,2.03282
9.49331,4.43166,6.85961
6.51508,6.5658,8.27947
33.2353,10.5563,16.0909
8.35678,9.64442,8.03893
14.7519,5.25146,8.02715
11.4059,4.24775,8.62825
8.23755,4.8019,3.65684
9.13396,-0.151333,6.73909
15.6032,-0.295476,14.7339
26.5964,16.806,33.0526
7.32736,1.10694,2.53275
7.80991,2.56092,3.22248
26.7866,6.69979,7.72772
29.2541,9.03133,18.9848
24.5354,11.3272,14.1484
6.18128,4.72855,4.28989
6.03034,2.01147,0.440682
25.3721,8.45793,12.3374
6.92863,2.97622,1.62127
10.7434,10.2872,6.13649
28.5135,11.6947,20.8313
10.0504,8.01159,12.3115
7.61127,8.04607,2.4549
7.6384,2.00969,4.42276
15.0376,7.08656,7.44941
22.7704,11.1167,12.3371
12.8987,2.07193,2.71728
4.4295,4.57532,8.54574
4.71348,-0.405497,3.16933
8.84639,3.01566,1.0528
6.48258,4.93651,7.37427
7.73151,5.40608,2.44491
47.0529,30.549,40.9641
12.7653,2.19092,7.08646
3.06635,6.01233,-0.745959
7.59656,-0.187658,7.20256
8.12041,7.67859,14.6175
25.6063,10.1724,7.67384
12.9944,6.49066,20.5182
6.76953,10.1276,5.32638
25.3376,15.2029,7.39329
16.1774,10.0892,12.9645
3.7754,2.59346,2.77276
15.3808,10.0214,11.9007
10.3052,4.26517,7.71133
18.5226,3.14787,9.7061
8.43491,6.31506,12.2236
11.8143,2.90445,10.4892
4.25896,0.743194,4.77566
4.95734,4.47163,5.67083
2.57141,2.23081,-0.544749
3.41104,-0.09425,4.92812
12.0751,1.85016,6.19037
9.8504,5.2721,2.94826
17.4381,9.24207,22.0801
11.9461,5.94449,4.81773
70.5912,42.5152,59.3035
5.40471,-0.405377,3.38035
4.02624,-0.263274,6.66179
13.9162,1.03632,6.45974
8.10147,7.05921,7.73122
6.28727,4.47335,-0.095299
9.61062,7.40013,7.42416
17.8399,19.6033,10.4638
1.76469,1.94602,6.38164
8.2075,2.62616,6.68355
1.26303,2.57617,1.58396
15.2247,4.98844,14.1791
12.2886,5.00256,3.00296
6.36441,4.26643,6.93702
1.90231,0.691924,3.91234
23.0169,10.2664,16.5474
9.24283,8.72462,3.34436
2.13689,4.80714,3.06776
6.18227,-0.0494119,3.70408
14.9224,7.52949,3.67352
5.31292,8.13071,12.6477
13.957,4.98837,5.71589
30.2436,13.7121,22.7614
9.89809,7.34739,6.31369
11.5618,13.7192,18.8525
3.37587,1.38937,6.46809
14.7434,10.3341,19.1414
20.0251,17.0093,18.2936
10.8452,6.16904,1.23834
14.5607,5.30121,9.45539
6.51248,-0.530042,8.41239
21.7536,13.9273,12.4011
34.2942,11.4852,13.9331
5.04567,7.43852,5.20998
10.2134,5.29265,4.21653
1.24463,4.66572,1.68762
8.4685,7.43975,11.4252
10.7239,7.2719,15.3354
9.79977,4.96531,5.02035
7.50584,4.98609,2.41802
11.2679,3.36039,5.71899
6.59803,-0.586395,1.41461
12.6614,3.81779,3.78537
19.0611,8.21631,10.1203
5.29859,0.265792,4.17823
4.85983,5.60225,7.78331
11.1974,7.03806,6.40177
6.53761,0.873993,5.05066
4.85267,6.15887,8.60337
17.7068,9.08837,2.90808
11.7131,2.81421,4.79263
2.82467,3.45635,5.15751
14.5503,3.62294,6.00757
10.9882,8.59217,10.1665
7.44972,5.10567,9.62064
37.7311,16.2426,14.6316
7.1001,4.9142,4.77515
15.4177,12.0459,11.421
12.455,5.606,9.35749
13.3394,6.20293,8.35676
7.86679,1.11897,5.6325
6.76932,-0.40677,3.57144
6.17516,3.23959,3.43167
18.6437,10.9112,11.6837
2.7772,2.34737,3.79364
2.43585,4.27724,2.92563
6.35486,3.13616,1.89054
15.2393,4.27759,1.08739
14.6995,6.25261,3.25699
7.39599,4.66835,1.30782
23.5682,7.06577,12.6076
5.99202,5.48601,4.58278
14.656,3.3714,4.01389
3.37757,3.61011,2.82067
7.3978,-0.243405,6.18209
7.23391,-0.405782,2.14779
2.66115,-0.119212,10.5323
6.76789,5.91399,7.87293
18.0747,6.52432,9.38846
7.02419,-0.662816,2.64109
16.4519,8.91992,16.8417
7.63486,-0.87428,7.19632
13.571,5.81985,9.91477
14.3338,14.1604,23.0979
9.74318,1.98324,6.57212
9.42502,8.84412,7.99435
3.80138,3.35938,1.92501
7.79027,5.64592,5.9096
18.8647,11.4569,11.1466
3.46453,2.0774,2.04953
8.76448,-0.52867,7.36762
