Syk(),Vav(),SykVav(),pVav(),SHP1(),SHP1PVav()
271,3,45,2741,0,200
258,3,36,1781,1,201
157,2,41,1189,0,221
237,1,59,2148,0,327
215,3,16,2231,0,103
115,3,49,1673,0,229
199,1,23,1763,0,162
134,0,27,1681,0,139
131,6,61,2273,0,280
118,4,49,1729,0,272
195,0,18,902,0,125
138,2,24,2047,0,113
158,1,33,1380,0,165
166,0,32,1545,0,191
282,4,54,1979,1,198
18,46,108,1548,2,213
230,3,29,1449,1,108
132,3,44,1286,0,208
88,10,91,1229,0,402
306,1,25,2274,0,148
152,6,49,1624,0,268
1,823,113,946,1,272
99,5,39,1349,0,198
253,2,38,1429,0,191
129,2,30,1172,0,120
31,39,105,1787,0,170
171,4,21,1772,0,145
172,2,20,1692,0,131
0,836,112,1150,0,232
212,6,78,2761,0,328
195,3,25,1991,1,123
189,0,42,2506,0,175
141,2,42,1967,0,204
152,1,42,1796,0,207
126,2,68,2716,0,181
0,1914,146,1403,0,325
218,2,27,2019,0,157
161,2,63,1241,0,320
248,2,24,1748,0,138
1,224,124,1670,0,161
2,1286,96,999,1,219
105,3,47,1342,0,241
207,3,18,1958,0,147
5,166,112,1653,0,116
14,86,124,1624,1,236
158,4,32,2015,0,189
233,1,31,2361,0,150
182,7,57,2441,1,273
139,4,64,1947,0,304
2,431,156,2547,0,103
140,5,45,905,0,226
117,1,40,2083,0,165
262,2,32,2069,0,155
189,8,45,1780,1,202
158,2,31,1289,0,190
1,1022,92,1125,0,159
10,173,170,2408,0,256
8,115,151,2254,0,176
187,3,40,970,0,202
147,3,35,2013,0,194
6,210,114,1278,0,235
235,1,37,1872,0,209
102,6,53,1514,0,267
168,2,28,1539,0,171
115,4,44,1290,1,198
2,1035,151,1943,0,209
291,0,34,1542,0,190
190,3,60,1647,0,284
184,3,57,1237,0,331
89,5,62,1828,0,226
284,1,28,2011,0,154
13,68,136,1445,0,327
278,0,19,1739,0,113
261,2,40,1045,0,178
414,0,31,1264,0,144
86,6,76,974,0,392
1,591,110,1063,1,241
158,2,23,2116,0,157
7,198,140,1118,1,371
111,1,47,1223,0,259
165,5,41,2047,0,215
167,4,62,3398,0,162
81,5,51,1494,0,197
21,42,108,1470,1,244
47,7,59,1244,0,159
116,2,43,1015,0,195
211,2,45,1160,0,229
204,3,34,1317,0,167
184,2,44,1339,0,261
255,3,7,1414,1,73
147,3,24,1361,0,179
148,2,38,1675,0,209
207,2,24,1410,0,132
106,6,57,1132,0,262
88,10,70,1343,0,358
0,655,104,1445,0,127
149,2,33,1713,0,155
288,1,18,1662,0,114
123,4,75,1098,1,393
21,81,140,2104,0,197
212,3,51,1306,2,289
12,116,130,2226,0,124
192,1,51,3197,1,220
303,1,28,1493,0,161
178,0,50,1421,0,318
123,2,27,1225,0,129
265,0,29,2565,0,103
213,1,68,1400,0,310
250,0,38,1556,0,218
182,0,32,2825,0,135
3,497,102,1400,0,148
9,224,152,2523,0,144
80,10,71,1957,0,204
167,2,13,2195,0,69
185,0,40,1400,0,186
117,2,44,1567,0,205
133,4,41,1719,0,240
62,4,69,869,0,331
64,23,147,1530,2,577
106,9,51,1310,2,222
208,1,30,1686,0,168
152,0,45,1791,0,195
15,87,148,2553,1,122
196,2,46,1980,0,292
120,4,71,2272,0,249
164,1,20,1808,0,115
226,0,31,1229,0,116
156,1,42,1066,0,200
188,0,35,782,0,204
216,1,47,1657,0,252
149,4,30,1568,1,150
0,1490,133,1632,1,225
170,1,21,1229,1,102
146,1,14,937,0,109
229,0,35,1706,0,160
242,6,48,2077,0,294
187,1,67,2094,0,289
156,1,16,1604,0,88
76,5,42,1454,0,148
238,0,25,1506,0,121
144,3,59,1138,1,289
169,1,29,2301,0,181
165,4,33,1960,0,198
166,2,30,1797,0,139
126,4,39,1753,0,174
205,2,22,1770,0,117
7,425,186,2137,0,327
133,3,31,2058,0,163
270,0,34,1567,0,182
136,5,63,1335,0,293
38,26,83,1559,0,176
143,3,27,1980,0,149
177,2,54,1729,0,282
0,812,79,503,0,238
161,1,33,2165,0,179
140,0,46,1629,0,225
383,1,38,1199,0,224
0,949,108,842,0,286
103,1,26,1440,0,152
229,2,30,1385,1,216
183,3,58,1873,0,255
282,3,15,2637,0,129
211,3,75,1237,0,317
21,38,103,1238,0,256
198,3,76,1258,0,346
160,3,38,1842,0,171
340,1,40,2325,0,191
211,6,69,1301,0,355
5,490,159,1213,0,486
6,218,152,1954,0,220
238,1,21,1874,0,138
106,3,32,1635,0,157
3,1023,173,2217,0,271
3,750,115,1399,1,195
128,2,20,1733,0,117
2,480,95,963,0,223
98,0,32,1524,0,174
308,1,36,1859,0,172
14,113,147,1913,0,252
126,1,16,1357,0,121
117,5,26,623,1,185
240,0,27,1908,0,163
210,0,45,1138,0,216
178,3,27,1314,0,159
219,6,42,1290,0,207
156,1,23,1869,0,114
113,4,56,1633,0,266
167,3,61,1844,0,329
184,2,28,1857,0,135
211,1,26,1772,0,129
278,1,42,1763,0,212
208,2,21,2477,1,144
120,2,42,1609,0,189
123,6,23,1612,1,135
227,3,27,2107,0,151
116,0,35,1268,0,124
158,0,27,1234,0,156
163,2,33,1864,0,217
0,653,97,1219,0,164
6,215,143,1458,0,324
246,0,32,2604,0,183
99,8,36,1553,0,175
147,4,55,1843,0,248
3,381,154,1810,0,286
146,2,50,1433,0,279
115,6,27,1332,1,145
1,974,105,386,0,389
244,4,47,1552,1,235
2,867,139,1213,1,305
188,2,22,1522,0,121
111,6,49,1253,1,250
306,2,41,1980,1,194
3,172,84,1177,0,126
189,0,28,1258,0,148
116,2,56,1468,0,269
77,5,48,1395,0,161
91,2,25,1607,0,99
51,21,136,2782,0,199
167,4,77,1642,0,367
360,3,31,2157,0,178
152,1,42,1410,0,216
264,1,39,1533,0,202
1,1735,83,151,2,346
182,2,48,2180,0,266
184,4,42,2116,0,233
0,1136,106,1107,0,218
141,0,36,2125,0,176
203,1,24,1162,0,166
215,1,46,2910,0,232
186,0,27,1161,0,135
184,0,22,1359,1,95
1,867,86,1128,0,144
213,2,56,1292,0,253
230,0,40,3135,0,203
90,4,39,1275,0,195
208,3,55,1486,0,232
144,3,27,1808,0,166
161,1,35,2133,0,133
202,5,46,1959,0,262
70,14,84,1610,0,276
74,0,20,1030,0,100
44,29,152,2514,0,294
223,1,39,1206,1,240
4,316,104,1247,0,181
1,789,97,823,0,219
157,2,33,1388,0,214
4,396,131,1194,0,285
342,2,52,1960,1,188
39,16,78,1409,0,174
178,4,44,2143,0,270
155,0,18,1674,0,91
176,0,20,2222,0,140
78,12,115,2055,1,351
188,4,41,1852,0,203
188,1,34,2180,0,146
294,1,24,1867,0,177
198,1,27,1667,0,112
3,395,171,2336,0,238
252,2,47,1285,2,219
131,2,48,1661,0,277
152,3,56,2130,0,362
197,2,36,1987,0,180
174,0,23,2279,0,122
261,1,30,2644,0,234
1,1045,103,444,0,409
165,1,45,1193,0,183
71,7,55,1624,0,161
170,3,56,2467,0,267
115,1,53,1699,0,214
20,63,156,2390,0,243
1,1351,87,1185,0,133
142,4,28,1480,0,211
287,3,48,1975,0,248
258,0,22,1186,0,113
263,1,20,1538,0,158
74,4,62,1907,0,143
11,93,90,1099,0,191
192,2,37,1452,0,155
167,3,35,1406,0,186
21,43,142,2335,0,159
94,6,57,2312,0,104
228,4,40,1422,0,216
286,1,35,2068,0,135
117,3,37,1929,0,177
209,1,23,2145,0,109
68,9,47,942,0,205
157,1,24,2010,0,102
130,1,20,1159,0,167
249,3,35,1604,1,188
150,2,37,1586,0,145
264,1,56,2629,0,267
287,0,38,3717,0,179
141,5,43,1730,0,234
184,0,29,2358,0,175
155,1,40,1644,0,240
151,3,26,1483,1,187
256,1,30,1998,0,163
149,4,30,1639,0,279
