NKG2D(),CD45(),pErk(),CD107a()
5.07,42.52,2.14,0.77
20.49,30.5,2.07,2.66
3.72,28.98,3.65,0.09
5.1,48.51,0.71,0.59
3.64,41.12,4.49,2.29
7,25.79,0.51,2.47
12.75,54.39,0.47,0.19
12.95,113.7,3.4,0.82
4.92,50.62,12.4,0.25
5.31,182.84,5.35,0.79
2.44,38.6,0.5,0.39
2.01,8.29,0.86,0.81
6.07,81.7,2.08,6.45
11.48,73.89,4.67,1.92
2.93,23.15,1.79,0.94
6.25,57.94,9.06,0.93
6.96,32.88,5.74,0.53
7.34,33.03,5.33,1.35
8.16,75.36,0.02,1.65
13.9,36.9,0.55,1.77
6.04,33.13,0.52,0.52
5.21,37.12,6.93,0.61
11.04,52.25,1.87,0.26
5.62,66.79,1.15,0.44
6.22,64.15,2.29,0.67
1.11,33.81,0.47,0.12
14.43,39.2,1.81,0.65
1.63,38.3,4.21,2.22
3.06,7.57,0.66,0.5
6.36,30.61,2.92,0.59
1.49,43.16,3.6,0.53
8.19,48.78,3.18,0.57
4.52,24.84,13.02,0.38
2.82,25.03,3.92,0.37
5.95,18.65,3.72,0.24
5.49,30.39,0.02,0.12
3.57,37.24,4.19,1.26
15,56.21,5.09,0.4
5.93,36.51,0.58,0.84
20.35,48.88,4.77,11.72
3.75,45.87,2.43,0.13
0.02,51.78,1.87,0.83
11.89,65.84,5.45,0.64
2.05,42.55,5.4,-0
12.83,87.94,7.51,0.68
6.12,28.82,3.28,4.73
4.03,138.38,0.84,0.89
16.74,47.87,0.6,0.93
5.29,26.39,6.73,0.93
7.29,62.83,2.44,0.44
9.65,36.07,3.8,5.49
6.33,16.32,1.83,0.6
1.35,24.58,2.93,0.96
11.74,32.51,8.16,0.56
2.02,64.43,4.53,1.5
19.83,77.48,16.67,3.07
2.15,47.28,5.36,1.26
7.7,64.67,3.71,0.06
0.08,49.9,0.19,0.4
12.32,44.47,1.35,0.2
20.65,230.67,0.48,0.95
3.1,34.69,0.79,0.09
7.71,41.99,0.97,0.89
5.44,69.86,5.79,0.18
0.98,41.7,0.24,0.79
12.63,43.2,1.34,0.64
2.17,40.07,2.81,0.52
9.42,52.27,1.83,0.08
20.17,99.1,3.5,0.45
2.39,16.95,0.17,1.15
6.06,84.32,5.53,0.31
4.17,61.83,5.08,0.96
11.13,56.35,0.32,0.21
4.08,150.25,2.18,0.06
11.88,98.24,2.28,1.99
12.34,15.57,5.68,1.82
5.2,17.26,5.59,2.32
2.44,64.07,4.79,0.03
0.73,25.87,1.04,0.19
6.55,39.86,1.75,0.09
5.31,30.17,9.28,0.8
4.99,71.89,2.41,0.71
5.61,22.26,0.18,0.05
6.51,37.13,1.44,0.81
13.88,110.6,0.81,0.36
5.28,39.15,11.66,2.67
18.44,34.27,3.13,0.78
17.29,67.38,7.44,1.64
4.69,62.13,0.68,0.32
11.72,123.67,3.96,0.76
13.99,86.99,599.25,1.54
8.56,12.74,1.65,1.65
9.88,21.18,8.29,0.9
30.01,57,14.09,3.06
18.93,45.63,4.43,1.07
21.97,46.28,3.95,0.32
6.98,43.78,1.54,0.95
20.03,139.75,0.66,1.88
9.9,50.22,1.72,0.7
15.48,60.12,1.77,4.76
5.36,38,2.27,0.72
8.87,74.54,4.08,1.35
9.69,39.09,1.01,1.39
9.97,49.92,0.67,0.56
1.98,32.31,2.23,0.41
14.59,38.22,4.64,0.66
10.43,25.37,0.77,0.35
7.33,32.03,0.72,0.18
17.19,82.62,7.05,0.94
4.28,50.34,1.25,0.85
2.73,36.83,0.97,0.57
16.06,43.64,1.47,0.59
3.23,61.31,2.4,0.49
1.14,42.49,3.59,0.19
12.08,34.3,4.51,0.81
40.53,47.42,1.01,0.72
21.82,73.57,4.91,0.97
7.84,44.14,1.87,0.17
11.79,58.08,1.77,0.69
14.98,62.13,0.31,0.45
10.44,47.25,0.48,0.66
1.37,43.9,2.85,0.61
13.72,21.36,1,1.11
7.15,79.32,4.84,-0
8.71,43.72,3.07,0.86
9.94,45.26,4.65,0.91
6.21,124.94,5.87,0.65
0.74,33.81,3.45,0.74
16.03,56.5,0.36,2.29
18.25,52.06,1.36,0.66
29.46,40.97,1.01,1.77
1.22,40.42,2.57,0.5
5.16,46.56,2.16,0.34
12.46,33.44,0.67,94.72
1.9,59.37,3.53,61.85
2.27,65.19,0.37,0.62
8.15,47.53,1.89,0.17
